"COLLEX","CORP.FREQ","OBS","EXP","ASSOC","COLL.STR.LOGL","SIGNIF"
"possibile",122447,18450,27.5,"attr",210147.36735,"*****"
"difficile",103942,15639,23.3,"attr",177543.63942,"*****"
"facile",50474,8903,11.3,"attr",103455.08121,"*****"
"necessario",72840,9203,16.4,"attr",100326.59823,"*****"
"impossibile",25678,3966,5.8,"attr",44716.12499,"*****"
"giusto",55821,4003,12.5,"attr",38646.71566,"*****"
"inutile",28056,3372,6.3,"attr",36180.6666,"*****"
"opportuno",12937,1918,2.9,"attr",21412.24403,"*****"
"lecito",4320,1607,1,"attr",21327.46723,"*****"
"importante",106534,2229,23.9,"attr",15901.47921,"*****"
"sufficiente",20933,1496,4.7,"attr",14391.6374,"*****"
"bene",6190,1105,1.4,"attr",12773.79626,"*****"
"interessante",23035,1233,5.2,"attr",11124.78847,"*****"
"indispensabile",16946,1114,3.8,"attr",10519.96855,"*****"
"solito",23822,1103,5.4,"attr",9623.60793,"*****"
"bello",114013,1370,25.6,"attr",8250.50721,"*****"
"assurdo",11714,724,2.6,"attr",6742.04111,"*****"
"utile",53415,904,12,"attr",6053.72296,"*****"
"sbagliato",12410,585,2.8,"attr",5122.2333,"*****"
"doveroso",3822,452,0.9,"attr",4820.01617,"*****"
"prematuro",2379,413,0.5,"attr",4745.8855,"*****"
"preferibile",1467,324,0.3,"attr",3896.36735,"*****"
"legittimo",11745,443,2.6,"attr",3677.42211,"*****"
"ragionevole",6255,348,1.4,"attr",3164.08563,"*****"
"obbligatorio",8887,352,2,"attr",2956.58319,"*****"
"inevitabile",16904,385,3.8,"attr",2804.41557,"*****"
"urgente",9917,344,2.2,"attr",2796.9111,"*****"
"logico",4648,290,1,"attr",2704.82702,"*****"
"consigliabile",698,209,0.2,"attr",2660.22586,"*****"
"ingiusto",4839,283,1.1,"attr",2601.87666,"*****"
"arduo",3724,254,0.8,"attr",2415.60535,"*****"
"impensabile",3943,238,0.9,"attr",2203.48182,"*****"
"semplice",48051,385,10.8,"attr",2008.18235,"*****"
"pericoloso",28735,327,6.5,"attr",1930.62355,"*****"
"curioso",11177,255,2.5,"attr",1857.99539,"*****"
"dovuto",2608,172,0.6,"attr",1623.67916,"*****"
"duro",64059,358,14.4,"attr",1617.11318,"*****"
"illusorio",1375,153,0.3,"attr",1611.29873,"*****"
"fondamentale",26206,274,5.9,"attr",1571.83936,"*****"
"raro",13294,225,3,"attr",1505.1539,"*****"
"superfluo",2415,154,0.5,"attr",1443.04758,"*****"
"conveniente",3617,154,0.8,"attr",1315.78748,"*****"
"pensabile",1550,129,0.3,"attr",1279.88675,"*****"
"normale",26360,231,5.9,"attr",1245.00541,"*****"
"essenziale",13261,186,3,"attr",1174.77139,"*****"
"triste",10278,166,2.3,"attr",1094.90812,"*****"
"divertente",7460,154,1.7,"attr",1091.09628,"*****"
"realistico",5098,132,1.1,"attr",995.12794,"*****"
"stupido",3567,121,0.8,"attr",978.04868,"*****"
"piacevole",4152,121,0.9,"attr",940.96904,"*****"
"agevole",1766,94,0.4,"attr",845.89389,"*****"
"vano",2454,93,0.6,"attr",772.55698,"*****"
"insensato",1672,86,0.4,"attr",767.86999,"*****"
"riduttivo",1582,84,0.4,"attr",755.4749,"*****"
"azzardato",703,72,0.2,"attr",745.59362,"*****"
"ingeneroso",764,72,0.2,"attr",733.00818,"*****"
"ingenuo",4633,96,1,"attr",680.82446,"*****"
"improprio",3110,86,0.7,"attr",659.67102,"*****"
"rischioso",4713,93,1.1,"attr",650.46391,"*****"
"sciocco",1041,67,0.2,"attr",629.03493,"*****"
"esagerato",1890,74,0.4,"attr",619.60113,"*****"
"naturale",25172,133,5.7,"attr",586.1247,"*****"
"irrealistico",295,44,0.1,"attr",490.89367,"*****"
"errato",1491,58,0.3,"attr",484.85961,"*****"
"imprudente",683,50,0.2,"attr",482.71875,"*****"
"prudente",7352,77,1.7,"attr",441.82179,"*****"
"ipocrita",1545,54,0.3,"attr",439.71065,"*****"
"inopportuno",2069,56,0.5,"attr",427.12064,"*****"
"terribile",17798,94,4,"attr",414.14377,"*****"
"strano",24481,102,5.5,"attr",403.22866,"*****"
"comodo",5583,67,1.3,"attr",402.41484,"*****"
"faticoso",5373,66,1.2,"attr",399.44578,"*****"
"fuorviante",1004,45,0.2,"attr",389.13415,"*****"
"doloroso",7577,70,1.7,"attr",384.40153,"*****"
"scorretto",2198,52,0.5,"attr",382.55643,"*****"
"brutto",22085,93,5,"attr",369.51618,"*****"
"eccessivo",15679,83,3.5,"attr",366.0393,"*****"
"auspicabile",2066,49,0.5,"attr",360.73094,"*****"
"ovvio",9896,69,2.2,"attr",341.00853,"*****"
"imbarazzante",4001,54,0.9,"attr",336.87172,"*****"
"inconcepibile",961,38,0.2,"attr",318.92071,"*****"
"confortante",2394,45,0.5,"attr",310.35425,"*****"
"ammissibile",1117,37,0.3,"attr",297.26065,"*****"
"irresponsabile",2525,44,0.6,"attr",296.81283,"*****"
"immorale",1171,37,0.3,"attr",293.73348,"*****"
"consolante",443,29,0.1,"attr",273.27139,"*****"
"esatto",7804,54,1.8,"attr",266.06801,"*****"
"onesto",7005,51,1.6,"attr",256.32638,"*****"
"controproducente",1370,34,0.3,"attr",253.39059,"*****"
"sensato",1132,32,0.3,"attr",246.85912,"*****"
"vietato",1102,31,0.2,"attr",238.83935,"*****"
"concepibile",468,26,0.1,"attr",236.23136,"*****"
"folle",5154,44,1.2,"attr",234.80823,"*****"
"inaccettabile",6999,47,1.6,"attr",228.84063,"*****"
"arbitrario",1743,33,0.4,"attr",228.06324,"*****"
"ozioso",406,24,0.1,"attr",221.1158,"*****"
"grave",66399,102,14.9,"attr",218.22814,"*****"
"meraviglioso",5997,42,1.3,"attr",207.92084,"*****"
"paradossale",5050,40,1.1,"attr",207.60532,"*****"
"sconsigliabile",147,19,0,"attr",206.1213,"*****"
"irragionevole",561,24,0.1,"attr",205.25794,"*****"
"semplicistico",740,25,0.2,"attr",201.84433,"*****"
"verosimile",1795,30,0.4,"attr",199.87397,"*****"
"banale",6680,42,1.5,"attr",199.13726,"*****"
"difficle",61,16,0,"attr",198.65139,"*****"
"amaro",8672,45,1.9,"attr",196.71446,"*****"
"sentito",705,24,0.2,"attr",194.14049,"*****"
"decisivo",23359,62,5.2,"attr",192.87467,"*****"
"inammissibile",2042,30,0.5,"attr",192.18815,"*****"
"prioritario",2683,32,0.6,"attr",191.79696,"*****"
"imperativo",527,22,0.1,"attr",187.05734,"*****"
"emozionante",1790,28,0.4,"attr",182.86226,"*****"
"buffo",1792,28,0.4,"attr",182.80013,"*****"
"problematico",3575,32,0.8,"attr",173.73184,"*****"
"istruttivo",712,22,0.2,"attr",173.65727,"*****"
"incredibile",13872,48,3.1,"attr",172.92016,"*****"
"pazzesco",1332,25,0.3,"attr",172.33884,"*****"
"impressionante",5614,36,1.3,"attr",172.05995,"*****"
"stupefacente",1418,25,0.3,"attr",169.22037,"*****"
"sorprendente",8395,40,1.9,"attr",168.32107,"*****"
